DTUTC	PHspec	TCspec	DIC	TA	SAL	QC
05-Jan-2015 09:15:00	7.9144	25	2017.29	2240.09	33.393	1
22-Jan-2015 09:00:00	7.9229	25	2011.19	2235.4	33.356	1
13-Feb-2015 09:11:00	7.9236	25	2007.92	2234.13	33.297	1
25-Feb-2015 09:27:00	7.9333	25	2003.9	2233.99	33.349	1
04-Mar-2015 09:00:00	7.938	25	2002.8	2232.46	33.328	1
09-Mar-2015 08:00:00	7.9209	25	2008.78	2229.93	33.302	1
20-Mar-2015 08:30:00	7.937	25	1999.51	2229.56	33.326	1
26-Mar-2015 08:00:00	7.9233	25	2008.76	2231.76	33.316	1
01-Apr-2015 07:33:00	7.9315	25	2002.79	2230.51	33.308	1
14-Apr-2015 11:15:00	7.9392	25	1999.85	2231.88	33.34	1
22-Apr-2015 09:30:00	7.8798	25	2028.19	2232.09	33.362	1
29-Apr-2015 09:00:00	7.9195	25	2014.04	2231.47	33.339	1
05-May-2015 09:15:00	7.9626	25	1990.74	2234.87	33.388	1
14-May-2015 07:45:00	7.9352	25	2003.04	2230.87	33.353	1
29-May-2015 09:15:00	7.9531	25	1988.05	2226.49	33.357	1
02-Jun-2015 11:00:00	7.9251	25	2005.2	2227.9	33.337	1
31-Jul-2015 09:15:00	7.9345	25	1998.25	2226.55	33.308	1
06-Aug-2015 09:15:00	7.9208	25	2004.55	2228.28	33.299	1
14-Aug-2015 09:00:00	7.9502	25	1994.49	2231.44	33.354	1
21-Aug-2015 09:00:00	7.9746	25	1981.76	2228.9	33.402	1
28-Aug-2015 10:00:00	7.9875	25	1977.47	2232.4	33.42	1
03-Sep-2015 09:15:00	7.9682	25	1994.86	2240.42	33.518	1
10-Sep-2015 09:45:00	7.9705	25	1992.86	2240.54	33.486	1
18-Sep-2015 09:00:00	7.9725	25	1995.21	2241.38	33.495	1
25-Sep-2015 09:15:00	7.954483492	25	1993.68109	2235.92	33.4286	1
07-Oct-2015 09:00:00	7.952123463	25	1992.817764	2233.22	33.3627	1
16-Oct-2015 09:00:00	7.948296417	25	1998.585066	2237.62	33.3955	1
22-Oct-2015 09:45:00		25	1996.095569	2242.41	33.4879	4
12-Nov-2015 10:30:00	7.93202154	25	2014.597802	2245.84	33.5011	1
18-Nov-2015 12:30:00	7.947300218	25	2006.170884	2245.6	33.5647	1
03-Dec-2015 09:30:00	7.927269516	25	2020.529008	2249.96	33.6527	1
17-Dec-2015 11:45:00	7.907575007	25	2032.656921	2252.95	33.6847	1
