DTUTC,VINT,TEMPC
17-Feb-2015 15:36:32,0.085341,22.076
17-Feb-2015 15:45:01,0.085483,22.099
17-Feb-2015 16:00:01,0.085361,22.137
17-Feb-2015 16:15:01,0.085528,22.096
17-Feb-2015 16:30:01,0.085975,21.886
17-Feb-2015 16:45:01,0.090652,20.556
17-Feb-2015 17:00:01,0.078735,18.094
17-Feb-2015 17:15:01,0.078636,17.712
17-Feb-2015 17:30:01,0.078625,17.483
17-Feb-2015 17:45:01,0.078399,17.319
17-Feb-2015 18:00:01,0.078225,17.226
17-Feb-2015 18:15:01,0.078309,17.199
17-Feb-2015 18:30:01,0.078169,17.157
17-Feb-2015 18:45:01,0.078126,17.065
17-Feb-2015 19:00:01,0.078214,17.135
17-Feb-2015 19:15:01,0.078167,17.115
17-Feb-2015 19:30:00,0.078127,17.109
17-Feb-2015 19:45:01,0.078115,17.144
17-Feb-2015 20:00:01,0.078165,17.205
17-Feb-2015 20:15:01,0.077984,17.13
17-Feb-2015 20:30:01,0.078033,17.173
17-Feb-2015 20:45:01,0.078142,17.273
17-Feb-2015 21:00:01,0.078168,17.39
17-Feb-2015 21:15:01,0.078205,17.366
17-Feb-2015 21:30:01,0.078244,17.376
17-Feb-2015 21:45:01,0.078113,17.419
17-Feb-2015 22:00:01,0.07811,17.499
17-Feb-2015 22:15:01,0.078114,17.53
17-Feb-2015 22:30:01,0.078213,17.576
17-Feb-2015 22:45:01,0.078146,17.59
17-Feb-2015 23:00:01,0.077904,17.707
17-Feb-2015 23:15:01,0.077912,17.732
17-Feb-2015 23:30:01,0.077847,17.815
17-Feb-2015 23:45:01,0.077866,17.778
18-Feb-2015 00:00:01,0.077696,17.995
18-Feb-2015 00:15:01,0.077745,17.766
18-Feb-2015 00:30:01,0.077782,17.76
18-Feb-2015 00:45:00,0.077921,17.786
18-Feb-2015 01:00:01,0.077988,17.721
18-Feb-2015 01:15:01,0.078017,17.674
18-Feb-2015 01:30:01,0.078001,17.644
18-Feb-2015 01:45:01,0.078006,17.644
18-Feb-2015 02:00:01,0.077947,17.649
18-Feb-2015 02:15:01,0.077873,17.659
18-Feb-2015 02:30:01,0.077945,17.652
18-Feb-2015 02:45:01,0.077999,17.65
18-Feb-2015 03:00:01,0.077917,17.624
18-Feb-2015 03:15:01,0.07798,17.642
18-Feb-2015 03:30:01,0.07808,17.624
18-Feb-2015 03:45:01,0.078059,17.574
18-Feb-2015 04:00:01,0.078007,17.557
18-Feb-2015 04:15:01,0.07802,17.532
18-Feb-2015 04:30:01,0.077976,17.556
18-Feb-2015 04:45:01,0.077928,17.504
18-Feb-2015 05:00:01,0.077993,17.461
18-Feb-2015 05:15:01,0.077977,17.445
18-Feb-2015 05:30:01,0.077985,17.451
18-Feb-2015 05:45:01,0.077935,17.46
18-Feb-2015 06:00:00,0.077951,17.468
18-Feb-2015 06:15:01,0.077879,17.468
18-Feb-2015 06:30:01,0.07789,17.466
18-Feb-2015 06:45:01,0.077962,17.461
18-Feb-2015 07:00:01,0.077885,17.456
18-Feb-2015 07:15:01,0.077927,17.457
18-Feb-2015 07:30:01,0.077952,17.454
18-Feb-2015 07:45:01,0.077983,17.452
18-Feb-2015 08:00:01,0.077944,17.45
18-Feb-2015 08:15:01,0.077918,17.448
18-Feb-2015 08:30:01,0.07795,17.449
18-Feb-2015 08:45:01,0.077897,17.447
18-Feb-2015 09:00:01,0.077779,17.444
18-Feb-2015 09:15:01,0.077824,17.442
18-Feb-2015 09:30:01,0.077765,17.436
18-Feb-2015 09:45:01,0.077761,17.43
18-Feb-2015 10:00:01,0.07778,17.423
18-Feb-2015 10:15:01,0.077806,17.423
18-Feb-2015 10:30:01,0.077792,17.416
18-Feb-2015 10:45:01,0.077694,17.403
18-Feb-2015 11:00:00,0.0777,17.376
18-Feb-2015 11:15:01,0.077687,17.379
18-Feb-2015 11:30:01,0.077753,17.38
18-Feb-2015 11:45:01,0.077677,17.372
18-Feb-2015 12:00:01,0.077633,17.371
18-Feb-2015 12:15:01,0.077632,17.364
18-Feb-2015 12:30:01,0.077376,17.354
18-Feb-2015 12:45:01,0.077311,17.339
18-Feb-2015 13:00:01,0.077184,17.334
18-Feb-2015 13:15:01,0.077297,17.332
18-Feb-2015 13:30:01,0.077394,17.275
18-Feb-2015 13:45:01,0.077402,17.042
18-Feb-2015 14:00:01,0.077456,16.993
18-Feb-2015 14:15:01,0.077556,17.061
18-Feb-2015 14:30:01,0.077674,17.189
18-Feb-2015 14:45:01,0.077724,17.179
18-Feb-2015 15:00:01,0.077636,17.144
18-Feb-2015 15:15:01,0.077633,17.168
18-Feb-2015 15:30:01,0.077713,17.137
18-Feb-2015 15:45:01,0.077819,17.167
