DTUTC,VINT,TEMPC
21-Apr-2015 22:07:00,0.040593,17.107
21-Apr-2015 22:15:00,0.041052,16.829
21-Apr-2015 22:30:00,0.041009,16.672
21-Apr-2015 22:45:00,0.040995,16.684
21-Apr-2015 23:00:00,0.041021,16.71
21-Apr-2015 23:15:00,0.041062,16.738
21-Apr-2015 23:30:00,0.041192,16.796
21-Apr-2015 23:45:00,0.040589,16.839
22-Apr-2015 00:00:00,0.04125,16.898
22-Apr-2015 00:15:00,0.041324,16.958
22-Apr-2015 00:30:00,0.041436,17.005
22-Apr-2015 00:45:00,0.041453,17.025
22-Apr-2015 01:00:00,0.041521,17.062
22-Apr-2015 01:15:00,0.041604,17.109
22-Apr-2015 01:30:00,0.041634,17.154
22-Apr-2015 01:45:00,0.041757,17.186
22-Apr-2015 02:00:00,0.041731,17.203
22-Apr-2015 02:15:00,0.041797,17.208
22-Apr-2015 02:30:00,0.041814,17.203
22-Apr-2015 02:45:00,0.041804,17.194
22-Apr-2015 03:00:00,0.04184,17.176
22-Apr-2015 03:15:00,0.041793,17.16
22-Apr-2015 03:30:00,0.041876,17.15
22-Apr-2015 03:45:00,0.041836,17.15
22-Apr-2015 04:00:00,0.041835,17.135
22-Apr-2015 04:15:00,0.041758,17.083
22-Apr-2015 04:30:00,0.041616,17.032
22-Apr-2015 04:45:00,0.041565,17.02
22-Apr-2015 05:00:00,0.041566,17.01
22-Apr-2015 05:15:00,0.041406,16.982
22-Apr-2015 05:30:00,0.04142,16.943
22-Apr-2015 05:45:00,0.041282,16.89
22-Apr-2015 06:00:00,0.041136,16.816
22-Apr-2015 06:15:00,0.041022,16.752
22-Apr-2015 06:30:00,0.040922,16.69
22-Apr-2015 06:45:00,0.0407,16.59
22-Apr-2015 07:00:00,0.040544,16.504
22-Apr-2015 07:15:00,0.040344,16.433
22-Apr-2015 07:30:00,0.040212,16.358
22-Apr-2015 07:45:00,0.040267,16.324
22-Apr-2015 08:00:00,0.040258,16.306
22-Apr-2015 08:15:00,0.0403,16.309
22-Apr-2015 08:30:00,0.040358,16.323
22-Apr-2015 08:45:00,0.040431,16.339
22-Apr-2015 09:00:00,0.040463,16.355
22-Apr-2015 09:15:00,0.040443,16.378
22-Apr-2015 09:30:00,0.040521,16.419
22-Apr-2015 09:45:00,0.04057,16.454
22-Apr-2015 10:00:00,0.0407,16.494
22-Apr-2015 10:15:00,0.04082,16.536
22-Apr-2015 10:30:00,0.04092,16.566
22-Apr-2015 10:45:00,0.041019,16.609
22-Apr-2015 11:00:00,0.041131,16.65
22-Apr-2015 11:15:00,0.041226,16.69
22-Apr-2015 11:30:00,0.041305,16.739
22-Apr-2015 11:45:00,0.041408,16.797
22-Apr-2015 12:00:00,0.041442,16.842
22-Apr-2015 12:15:00,0.041516,16.889
22-Apr-2015 12:30:00,0.041617,16.927
22-Apr-2015 12:45:00,0.041638,16.963
22-Apr-2015 13:00:00,0.041699,16.992
22-Apr-2015 13:15:00,0.04173,17.027
22-Apr-2015 13:30:00,0.041732,17.052
22-Apr-2015 13:45:00,0.041826,17.076
22-Apr-2015 14:00:00,0.041895,17.098
22-Apr-2015 14:15:00,0.041997,17.118
22-Apr-2015 14:30:00,0.042058,17.14
22-Apr-2015 14:45:00,0.042059,17.161
22-Apr-2015 15:00:00,0.056015,20.183
22-Apr-2015 15:15:00,0.05817,19.004
22-Apr-2015 15:30:00,0.059527,18.155
22-Apr-2015 15:45:00,0.059929,17.881
22-Apr-2015 16:00:00,0.046551,16.688
22-Apr-2015 16:15:00,0.042511,15.035
22-Apr-2015 16:30:00,0.043787,15.257
22-Apr-2015 16:45:00,0.043741,15.586
22-Apr-2015 17:00:00,0.044655,15.7
22-Apr-2015 17:15:00,0.044891,15.921
22-Apr-2015 17:30:00,0.043814,15.484
22-Apr-2015 17:45:00,0.044857,15.827
22-Apr-2015 18:00:00,0.043525,15.378
22-Apr-2015 18:15:00,0.042899,14.775
22-Apr-2015 18:30:00,0.041899,14.288
22-Apr-2015 18:45:00,0.043541,14.793
22-Apr-2015 19:00:00,0.045315,15.575
22-Apr-2015 19:15:00,0.046672,16.249
22-Apr-2015 19:30:00,0.046999,16.391
22-Apr-2015 19:45:00,0.047532,16.669
22-Apr-2015 20:00:00,0.047689,16.769
22-Apr-2015 20:15:00,0.047019,16.654
22-Apr-2015 20:30:00,0.047683,16.847
22-Apr-2015 20:45:00,0.047722,16.842
22-Apr-2015 21:00:00,0.047587,16.893
22-Apr-2015 21:15:00,0.047529,16.85
22-Apr-2015 21:30:00,0.047546,16.864
22-Apr-2015 21:45:00,0.047427,16.894
22-Apr-2015 22:00:00,0.047527,16.903
22-Apr-2015 22:15:00,0.047561,16.855
22-Apr-2015 22:30:00,0.047551,16.863
22-Apr-2015 22:45:00,0.047562,16.862
22-Apr-2015 23:00:00,0.04753,16.92
22-Apr-2015 23:15:00,0.047393,16.936
22-Apr-2015 23:30:00,0.047431,16.943
22-Apr-2015 23:45:00,0.047499,16.868
23-Apr-2015 00:00:00,0.047524,16.81
23-Apr-2015 00:15:00,0.047393,16.502
23-Apr-2015 00:30:00,0.047388,16.404
23-Apr-2015 00:45:00,0.047143,16.218
23-Apr-2015 01:00:00,0.047089,16.322
23-Apr-2015 01:15:00,0.04748,16.285
23-Apr-2015 01:30:00,0.046776,16.023
23-Apr-2015 01:45:00,0.046864,16.089
23-Apr-2015 02:00:00,0.047258,16.192
23-Apr-2015 02:15:00,0.047307,16.228
23-Apr-2015 02:30:00,0.047532,16.499
23-Apr-2015 02:45:00,0.047541,16.563
23-Apr-2015 03:00:00,0.046861,16.225
23-Apr-2015 03:15:00,0.044675,15.497
23-Apr-2015 03:30:00,0.044142,15.264
23-Apr-2015 03:45:00,0.044307,15.344
23-Apr-2015 04:00:00,0.045516,15.68
23-Apr-2015 04:15:00,0.046103,15.915
