DTUTC	QC
16-Oct-2013 12:30:00	2
30-Oct-2013 11:30:00	2
06-Nov-2013 13:45:00	2
13-Nov-2013 11:30:00	2
20-Nov-2013 11:45:00	2
25-Nov-2013 12:00:00	1
11-Dec-2013 10:30:00	4
11-Dec-2013 11:15:00	1
16-Dec-2013 09:30:00	1
30-Dec-2013 11:30:00	1
30-Dec-2013 11:45:00	1
25-Feb-2014 10:30:00	1
04-Mar-2014 12:00:00	2
14-Mar-2014 08:15:00	4
20-Mar-2014 09:30:00	1
25-Mar-2014 10:45:00	1
09-Apr-2014 11:15:00	1
16-Apr-2014 10:00:00	1
28-May-2014 10:30:00	4
06-Jun-2014 10:30:00	2
12-Jun-2014 10:45:00	2
17-Jun-2014 10:30:00	1
24-Jun-2014 09:15:00	1
02-Jul-2014 10:45:00	1
17-Jul-2014 09:45:00	1
28-Jul-2014 10:00:00	1
06-Aug-2014 16:30:00	2
06-Aug-2014 16:45:00	2
03-Dec-2014 12:15:00	4
10-Dec-2014 10:00:00	1
07-Jan-2015 09:45:00	4
13-Jan-2015 09:00:00	1
13-Jan-2015 09:15:00	1
13-Jan-2015 09:30:00	1
13-Jan-2015 09:45:00	1
22-Jan-2015 09:15:00	1
13-Feb-2015 09:45:00	4
04-Mar-2015 09:15:00	1
04-Mar-2015 09:30:00	1
09-Mar-2015 08:15:00	1
20-Mar-2015 08:45:00	1
26-Mar-2015 08:15:00	1
14-Apr-2015 10:30:00	1
22-Apr-2015 09:15:00	1
22-Apr-2015 08:30:00	4
29-Apr-2015 09:15:00	1
05-May-2015 09:30:00	1
14-May-2015 08:00:00	1
29-May-2015 09:30:00	1
02-Jun-2015 12:30:00	1
31-Jul-2015 10:30:00	2
06-Aug-2015 10:30:00	1
14-Aug-2015 10:15:00	1
21-Aug-2015 10:15:00	1
28-Aug-2015 10:30:00	4
28-Aug-2015 10:45:00	4
03-Sep-2015 09:30:00	1
10-Sep-2015 10:00:00	1
18-Sep-2015 09:15:00	1
25-Sep-2015 09:30:00	1
07-Oct-2015 09:15:00	1
16-Oct-2015 09:15:00	1
22-Oct-2015 11:00:00	4
18-Nov-2015 12:45:00	2
18-Nov-2015 13:00:00	1
18-Nov-2015 13:15:00	2
18-Nov-2015 13:30:00	2
18-Nov-2015 13:45:00	2
18-Nov-2015 14:00:00	2
03-Dec-2015 09:45:00	1
15-Jan-2016 08:45:00	1
15-Jan-2016 09:00:00	1
22-Jan-2016 09:45:00	1
27-Jan-2016 10:00:00	1
11-Feb-2016 10:15:00	1
11-Feb-2016 10:30:00	1
11-Feb-2016 10:45:00	2
24-Feb-2016 10:15:00	1
01-Mar-2016 10:00:00	1
18-Mar-2016 09:45:00	1
31-Mar-2016 11:30:00	1
21-Apr-2016 11:30:00	1
21-Apr-2016 11:45:00	1
05-May-2016 14:00:00	1
19-May-2016 09:30:00	1
19-May-2016 09:45:00	1
02-Jun-2016 11:15:00	2
09-Aug-2016 09:30:00	4
30-Aug-2016 09:45:00	1
14-Sep-2016 10:00:00	1
29-Sep-2016 09:15:00	1
12-Oct-2016 09:30:00	1
01-Nov-2016 10:15:00	1
15-Nov-2016 11:15:00	1
01-Dec-2016 11:30:00	1
14-Dec-2016 14:30:00	1
06-Jan-2017 09:45:00	1
06-Jan-2017 10:45:00	1
18-Jan-2017 12:30:00	2
31-Jan-2017 12:15:00	1
15-Feb-2017 10:00:00	1
03-Mar-2017 14:15:00	1
21-Mar-2017 08:00:00	1
07-Apr-2017 09:30:00	1
23-May-2017 09:30:00	4
15-Jun-2017 12:15:00	4
03-Jul-2017 11:45:00	1
18-Jul-2017 11:30:00	2
04-Aug-2017 11:30:00	2
21-Aug-2017 09:45:00	2
21-Aug-2017 10:00:00	1
21-Aug-2017 10:15:00	1
21-Aug-2017 10:45:00	1
21-Aug-2017 11:00:00	1
21-Aug-2017 11:15:00	1
08-Sep-2017 09:30:00	1
16-Oct-2017 16:00:00	1
02-Nov-2017 09:45:00	4
15-Nov-2017 15:00:00	4
15-Nov-2017 15:15:00	4
15-Nov-2017 16:00:00	4
22-Nov-2017 09:30:00	1
22-Nov-2017 09:45:00	1
22-Nov-2017 10:00:00	1
01-Dec-2017 14:15:00	1
01-Dec-2017 14:30:00	1
01-Dec-2017 14:45:00	1
01-Dec-2017 15:00:00	1
14-Dec-2017 10:30:00	1
24-Jan-2018 10:45:00	4
21-Feb-2018 12:30:00	1
21-Feb-2018 12:45:00	1
21-Feb-2018 13:00:00	1
21-Feb-2018 13:15:00	1
06-Mar-2018 15:45:00	1
20-Mar-2018 11:00:00	1
20-Mar-2018 11:15:00	1
02-Apr-2018 10:45:00	4
16-May-2018 12:00:00	1
06-Jun-2018 11:15:00	1
20-Jun-2018 15:45:00	1
06-Jul-2018 09:15:00	2
16-Jul-2018 09:15:00	1
09-Aug-2018 10:15:00	2
17-Aug-2018 11:30:00	1
29-Aug-2018 10:45:00	2
21-Sep-2018 12:20:00	1
21-Sep-2018 12:25:00	1
09-Oct-2018 09:40:00	1
09-Oct-2018 09:45:00	1
09-Oct-2018 09:50:00	1
09-Oct-2018 09:55:00	1
07-Nov-2018 15:20:00	1
07-Nov-2018 15:25:00	1
27-Nov-2018 10:20:00	1
27-Nov-2018 10:25:00	1
27-Nov-2018 10:30:00	1
14-Dec-2018 11:20:00	1
14-Dec-2018 11:25:00	1
14-Dec-2018 11:30:00	1
14-Dec-2018 11:35:00	1
14-Dec-2018 11:40:00	1
14-Dec-2018 11:45:00	1
14-Dec-2018 11:50:00	1
14-Dec-2018 11:55:00	1
25-Jan-2019 11:40:00	1
25-Jan-2019 11:45:00	1
25-Jan-2019 11:50:00	1
25-Jan-2019 11:55:00	1
25-Jan-2019 12:00:00	1
25-Jan-2019 12:05:00	1
25-Jan-2019 12:10:00	1
25-Jan-2019 12:15:00	1
30-Jan-2019 10:40:00	1
30-Jan-2019 10:45:00	1
12-Feb-2019 11:55:00	4
12-Feb-2019 12:00:00	4
15-Mar-2019 09:45:00	1
15-Mar-2019 09:50:00	1
28-Mar-2019 07:45:00	2
28-Mar-2019 07:50:00	1
28-Mar-2019 07:55:00	1
09-May-2019 11:00:00	1
09-May-2019 11:05:00	1
31-May-2019 11:10:00	2
31-May-2019 11:15:00	2
31-May-2019 11:20:00	2
31-May-2019 11:25:00	2
31-May-2019 11:30:00	2
28-Jun-2019 10:55:00	1
28-Jun-2019 11:00:00	1
23-Jul-2019 09:15:00	1
23-Jul-2019 09:20:00	1
23-Jul-2019 09:25:00	1
23-Jul-2019 09:30:00	1
23-Jul-2019 09:35:00	1
23-Jul-2019 09:40:00	1
09-Aug-2019 10:35:00	1
09-Aug-2019 10:40:00	1
09-Aug-2019 10:45:00	1
22-Aug-2019 09:30:00	1
22-Aug-2019 09:35:00	1
04-Oct-2019 12:25:00	1
04-Oct-2019 12:30:00	1
04-Oct-2019 12:35:00	1
04-Oct-2019 12:40:00	1
18-Dec-2019 11:15:00	1
18-Dec-2019 11:20:00	1
18-Dec-2019 11:25:00	1
17-Jan-2020 12:40:00	1
17-Jan-2020 12:45:00	1
14-Feb-2020 10:00:00	1
14-Feb-2020 10:05:00	1
05-Mar-2020 10:10:00	1
05-Mar-2020 10:15:00	1
12-May-2020 15:45:00	1
12-May-2020 15:50:00	1
12-May-2020 15:55:00	1
27-May-2020 09:55:00	1
27-May-2020 10:00:00	1
27-May-2020 10:05:00	1
27-May-2020 10:10:00	1
27-May-2020 10:15:00	1
27-May-2020 10:20:00	1
10-Jul-2020 09:55:00	1
10-Jul-2020 10:00:00	1
10-Jul-2020 10:05:00	1
10-Jul-2020 10:10:00	1
10-Jul-2020 10:10:00	1
29-Jul-2020 10:45:00	1
29-Jul-2020 10:50:00	1
29-Jul-2020 10:55:00	1
29-Jul-2020 11:00:00	1
29-Jul-2020 11:05:00	1
29-Jul-2020 11:10:00	1
21-Aug-2020 10:30:00	1
21-Aug-2020 10:35:00	1
18-Sep-2020 10:40:00	2
18-Sep-2020 10:45:00	1
18-Sep-2020 10:55:00	1
28-Oct-2020 10:35:00	1
28-Oct-2020 10:40:00	1
28-Oct-2020 10:45:00	1
28-Oct-2020 10:50:00	1
28-Oct-2020 10:55:00	1
28-Oct-2020 11:00:00	1
28-Oct-2020 11:05:00	1
17-Nov-2020 12:40:00	1
17-Nov-2020 12:45:00	1
17-Nov-2020 12:50:00	1
17-Nov-2020 12:55:00	1
17-Nov-2020 13:00:00	1
22-Jan-2021 10:25:00	1
22-Jan-2021 10:30:00	1
10-Feb-2021 10:45:00	1
19-Mar-2021 10:15:00	1
11-Aug-2021 15:05:00	1
11-Aug-2021 15:10:00	1
11-Aug-2021 15:15:00	1
27-Aug-2021 11:05:00	1
27-Aug-2021 11:10:00	1
24-Sep-2021 13:05:00	1
24-Sep-2021 13:10:00	1
24-Sep-2021 13:15:00	1
15-Oct-2021 10:55:00	1
15-Oct-2021 11:00:00	1
15-Oct-2021 11:05:00	1
15-Oct-2021 11:10:00	1
15-Nov-2021 16:30:00	1
15-Nov-2021 16:35:00	1
13-Dec-2021 10:50:00	1
13-Dec-2021 10:55:00	1
13-Dec-2021 11:00:00	1
13-Dec-2021 11:05:00	1
07-Jan-2022 12:10:00	1
07-Jan-2022 12:15:00	1
07-Jan-2022 12:20:00	1
07-Jan-2022 12:25:00	1
07-Jan-2022 12:30:00	1
07-Jan-2022 12:35:00	1
26-Jan-2022 12:00:00	1
26-Jan-2022 12:05:00	1
26-Jan-2022 12:10:00	1
26-Jan-2022 12:15:00	1
09-Mar-2022 10:15:00	1
09-Mar-2022 10:20:00	1
24-Mar-2022 10:35:00	1
24-Mar-2022 10:40:00	1
24-Mar-2022 10:45:00	1
24-Mar-2022 10:50:00	1
08-Apr-2022 12:15:00	1
08-Apr-2022 12:20:00	1
08-Apr-2022 12:25:00	1
08-Apr-2022 12:30:00	1
08-Apr-2022 12:35:00	1
08-Apr-2022 12:40:00	1
04-Aug-2022 10:40:00	1
04-Aug-2022 10:45:00	1
04-Aug-2022 10:50:00	1
04-Aug-2022 10:55:00	1
04-Aug-2022 11:00:00	1
20-Sep-2022 10:15:00	1
20-Sep-2022 10:20:00	1
20-Sep-2022 10:25:00	1
21-Oct-2022 11:30:00	1
21-Oct-2022 11:35:00	1
21-Oct-2022 11:40:00	1
09-Dec-2022 12:15:00	2
09-Dec-2022 12:20:00	1
09-Dec-2022 12:25:00	1
09-Dec-2022 12:30:00	1
09-Dec-2022 12:35:00	2
08-Feb-2023 16:00:00	2
08-Feb-2023 16:05:00	1
08-Feb-2023 16:10:00	1
08-Feb-2023 16:15:00	1
08-Mar-2023 09:50:00	1
08-Mar-2023 09:55:00	1
07-Apr-2023 14:50:00	1
07-Apr-2023 14:55:00	1
03-May-2023 09:50:00	2
03-May-2023 09:55:00	1
03-May-2023 10:00:00	1
03-May-2023 10:05:00	1
03-May-2023 10:10:00	2
03-May-2023 10:15:00	2
03-May-2023 10:20:00	2
03-May-2023 10:25:00	2
03-May-2023 10:30:00	2
03-May-2023 10:35:00	2
09-Jun-2023 09:30:00	2
09-Jun-2023 09:35:00	1
09-Jun-2023 09:40:00	1
09-Jun-2023 09:45:00	1
09-Jun-2023 09:50:00	1
09-Jun-2023 09:55:00	1
09-Jun-2023 10:00:00	2
30-Jun-2023 10:15:00	1
30-Jun-2023 10:20:00	1
30-Jun-2023 10:25:00	1
07-Aug-2023 12:35:00	1
07-Aug-2023 12:40:00	1
07-Aug-2023 12:45:00	1
07-Aug-2023 12:50:00	1
01-Sep-2023 11:15:00	1
01-Sep-2023 11:20:00	1
01-Sep-2023 11:25:00	1
20-Sep-2023 11:00:00	2
20-Sep-2023 11:05:00	1
20-Sep-2023 11:10:00	1
20-Sep-2023 11:15:00	1
20-Sep-2023 11:20:00	1
20-Sep-2023 11:25:00	1
20-Sep-2023 11:30:00	1
20-Sep-2023 11:35:00	1
20-Sep-2023 11:40:00	1
20-Sep-2023 11:45:00	1
20-Sep-2023 11:50:00	1
20-Sep-2023 11:55:00	1
20-Sep-2023 12:00:00	1
20-Sep-2023 12:05:00	1
20-Sep-2023 12:10:00	2
01-Nov-2023 13:45:00	1
01-Nov-2023 13:50:00	1
01-Nov-2023 13:55:00	1
06-Dec-2023 10:45:00	1
06-Dec-2023 10:50:00	1
06-Dec-2023 10:55:00	1
17-Jan-2024 13:10:00	2
17-Jan-2024 13:15:00	1
